img_path,easyocr_ocr,tesseract_ocr,doctr_ocr
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\4\budni_2494853_4_7553.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\5\budni_2494853_5_7567.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\5\budni_2494853_5_7566.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\7\budni_2494853_7_7602.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\7\budni_2494853_7_7615.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\8\budni_2494853_8_7619.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\8\budni_2494853_8_7621.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\3\budni_2621611_3_29876.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\4\budni_2621611_4_29889.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\4\budni_2621611_4_29886.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29915.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29918.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29921.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29927.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\8\budni_2621611_8_29951.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\1\edeka_2441853_1_521.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\4\edeka_2441853_4_641.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\4\edeka_2441853_4_646.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
